"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"Giannis Antetokounmpo","F","MIL","https://a.espncdn.com/i/headshots/nba/players/full/3032977.png",89.9228711491565,96.6291521725171,"— Steady","Recent form (75.8) is close to season avg (80.7)"
"Josh Giddey","G","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4871145.png",96.2748196452247,96.2189021615129,"On Fire (last 10)","Last 10 avg (83.6) is 8.5 above season avg (75.1). Boosted by IMPACT, PLAY"
"Jayson Tatum","F","BOS","https://a.espncdn.com/i/headshots/nba/players/full/4065648.png",93.7257734935945,93.7094282057387,"— Steady","Recent form (80.1) is close to season avg (77.4)"
"Victor Wembanyama","F","SA","https://a.espncdn.com/i/headshots/nba/players/full/5104157.png",90.3277088383904,93.0594627714092,"— Steady","Recent form (76.2) is close to season avg (79)"
"Jakob Poeltl","C","TOR","https://a.espncdn.com/i/headshots/nba/players/full/3134908.png",87.16082831224,92.9255888058906,"On Fire (last 10)","Last 10 avg (78.4) is 7.3 above season avg (71.1). Boosted by DEF, REB"
"Trae Young","G","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4277905.png",93.0674368624534,92.6674093362438,"— Steady","Recent form (79.2) is close to season avg (75.5)"
"Nikola Vučević","C","CHI","https://a.espncdn.com/i/headshots/nba/players/full/6478.png",95.7820301972141,92.6419511650267,"— Steady","Recent form (83.7) is close to season avg (73.2)"
"Deni Avdija","F","POR","https://a.espncdn.com/i/headshots/nba/players/full/4683021.png",91.9841008711163,91.8179649789118,"On Fire (last 10)","Last 10 avg (77.2) is 9.4 above season avg (67.8). Boosted by REB, DISC"
"Domantas Sabonis","F","SAC","https://a.espncdn.com/i/headshots/nba/players/full/3155942.png",93.2838386052819,91.7593656613544,"— Steady","Recent form (79.5) is close to season avg (78.2)"
"James Harden","G","LAC","https://a.espncdn.com/i/headshots/nba/players/full/3992.png",85.18977556371,91.4437540161736,"— Steady","Recent form (72.3) is close to season avg (75.9)"
"Immanuel Quickley","G","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4395724.png",90.6675628194542,91.2262592008055,"On Fire (last 10)","Last 10 avg (76.7) is 7.3 above season avg (69.4). Boosted by IMPACT, DISC"
"Dyson Daniels","G","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4869342.png",89.2630754982234,90.658326113312,"— Steady","Recent form (75.3) is close to season avg (73.5)"
"Nikola Jokić","C","DEN","https://a.espncdn.com/i/headshots/nba/players/full/3112335.png",88.4381334241683,90.6247226386786,"Cold (last 10)","Last 10 avg (76.1) is 10.7 below season avg (86.8). Dragged down by SCORING, REB"
"Tre Jones","G","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4395626.png",93.1771670049252,90.1591277626733,"On Fire (last 5)","Last 5 avg (79.3) is 10.6 above season avg (68.7). Boosted by IMPACT, SCORING"
"Cade Cunningham","G","DET","https://a.espncdn.com/i/headshots/nba/players/full/4432166.png",90.5369441984738,90.0922521827623,"— Steady","Recent form (76.4) is close to season avg (76.5)"
"Kawhi Leonard","F","LAC","https://a.espncdn.com/i/headshots/nba/players/full/6450.png",86.8742827237679,90.0330373564474,"— Steady","Recent form (73.5) is close to season avg (74.1)"
"Alperen Sengun","C","HOU","https://a.espncdn.com/i/headshots/nba/players/full/4871144.png",90.567717065219,89.9116783220882,"— Steady","Recent form (76.4) is close to season avg (76.6)"
"Day'Ron Sharpe","C","BKN","https://a.espncdn.com/i/headshots/nba/players/full/4432194.png",88.7497718868002,89.7637585374799,"— Steady","Recent form (74.9) is close to season avg (71.9)"
"Luka Dončić","G","LAL","https://a.espncdn.com/i/headshots/nba/players/full/3945274.png",73.6462312122403,89.5153344803616,"Cold (last 5)","Last 5 avg (66.4) is 11.7 below season avg (78.2). Dragged down by DISC, PLAY"
"Scottie Barnes","F","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4433134.png",83.0948750590923,89.248764221764,"— Steady","Recent form (71.1) is close to season avg (73.1)"
"LeBron James","F","LAL","https://a.espncdn.com/i/headshots/nba/players/full/1966.png",87.1369051275137,88.5621089343161,"— Steady","Recent form (73.6) is close to season avg (76.6)"
"Pascal Siakam","F","IND","https://a.espncdn.com/i/headshots/nba/players/full/3149673.png",90.6474446872228,88.5162168696968,"— Steady","Recent form (76.5) is close to season avg (72.4)"
"Donovan Clingan","C","POR","https://a.espncdn.com/i/headshots/nba/players/full/5105565.png",90.5089345914909,87.9946377995185,"— Steady","Recent form (76.4) is close to season avg (70.5)"
"Dejounte Murray","G","NO","https://a.espncdn.com/i/headshots/nba/players/full/3907497.png",85.7226709977518,87.213234130064,"— Steady","Recent form (72.7) is close to season avg (70.1)"
"Anthony Davis","F","DAL","https://a.espncdn.com/i/headshots/nba/players/full/6583.png",86.7425288142966,87.1709147475603,"— Steady","Recent form (73.4) is close to season avg (76.8)"
"Jalen Johnson","F","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4701230.png",63.4805374492965,86.3325381028286,"Cold (last 5)","Last 5 avg (62.2) is 12.1 below season avg (74.4). Dragged down by DEF, DISC"
"Tyrese Haliburton","G","IND","https://a.espncdn.com/i/headshots/nba/players/full/4396993.png",75.42655721765,86.3171942104623,"— Steady","Recent form (67.2) is close to season avg (78.5)"
"Donovan Mitchell","G","CLE","https://a.espncdn.com/i/headshots/nba/players/full/3908809.png",83.0961759064577,86.2659214915299,"— Steady","Recent form (71.1) is close to season avg (74.5)"
"Kevin Porter Jr.","G","MIL","https://a.espncdn.com/i/headshots/nba/players/full/4397140.png",60.1875889876179,86.2471455572439,"— Steady","Recent form (60.9) is close to season avg (66.6)"
